Statistic Label,Month,Airport,VALUE
Passengers,2019 January,Cork,148939.0
Passengers,2019 February,Cork,150482.0
Passengers,2019 March,Cork,174876.0
Passengers,2019 April,Cork,210510.0
Passengers,2019 May,Cork,239077.0
Passengers,2019 June,Cork,278961.0
Passengers,2019 July,Cork,296876.0
Passengers,2019 August,Cork,296799.0
Passengers,2019 September,Cork,238523.0
Passengers,2019 October,Cork,215482.0
Passengers,2019 November,Cork,171693.0
Passengers,2019 December,Cork,163248.0
Passengers,2020 January,Cork,158078.0
Passengers,2020 February,Cork,159121.0
Passengers,2020 March,Cork,80188.0
Passengers,2020 April,Cork,1140.0
Passengers,2020 May,Cork,2116.0
Passengers,2020 June,Cork,4623.0
Passengers,2020 July,Cork,27631.0
Passengers,2020 August,Cork,39951.0
Passengers,2020 September,Cork,22705.0
Passengers,2020 October,Cork,16714.0
Passengers,2020 November,Cork,6108.0
Passengers,2020 December,Cork,8639.0
Passengers,2021 January,Cork,4849.0
Passengers,2021 February,Cork,1478.0
Passengers,2021 March,Cork,2599.0
Passengers,2021 April,Cork,3796.0
Passengers,2021 May,Cork,6956.0
Passengers,2021 June,Cork,14179.0
Passengers,2021 July,Cork,32001.0
Passengers,2021 August,Cork,73640.0
Passengers,2021 September,Cork,28168.0
Passengers,2021 October,Cork,0.0
Passengers,2021 November,Cork,14933.0
Passengers,2021 December,Cork,72415.0
Passengers,2022 January,Cork,65166.0
Passengers,2022 February,Cork,96947.0
Passengers,2022 March,Cork,126210.0
Passengers,2022 April,Cork,192275.0
Passengers,2022 May,Cork,204036.0
Passengers,2022 June,Cork,248904.0
Passengers,2022 July,Cork,265597.0
Passengers,2022 August,Cork,269799.0
Passengers,2022 September,Cork,232410.0
Passengers,2022 October,Cork,205807.0
Passengers,2022 November,Cork,166913.0
Passengers,2022 December,Cork,164391.0
Passengers,2023 January,Cork,160857.0
Passengers,2023 February,Cork,157329.0
Passengers,2023 March,Cork,180655.0
Passengers,2023 April,Cork,249691.0
Passengers,2023 May,Cork,262358.0
Passengers,2023 June,Cork,279671.0
Passengers,2023 July,Cork,300228.0
Passengers,2023 August,Cork,307117.0
