Statistic Label,Month,Airport,VALUE
Passengers,2019 January,Dublin,2054794.0
Passengers,2019 February,Dublin,1993325.0
Passengers,2019 March,Dublin,2432195.0
Passengers,2019 April,Dublin,2789660.0
Passengers,2019 May,Dublin,2965517.0
Passengers,2019 June,Dublin,3202409.0
Passengers,2019 July,Dublin,3430859.0
Passengers,2019 August,Dublin,3399714.0
Passengers,2019 September,Dublin,3021796.0
Passengers,2019 October,Dublin,2865397.0
Passengers,2019 November,Dublin,2240194.0
Passengers,2019 December,Dublin,2280391.0
Passengers,2020 January,Dublin,2082481.0
Passengers,2020 February,Dublin,2030643.0
Passengers,2020 March,Dublin,1026004.0
Passengers,2020 April,Dublin,23951.0
Passengers,2020 May,Dublin,42661.0
Passengers,2020 June,Dublin,88980.0
Passengers,2020 July,Dublin,374443.0
Passengers,2020 August,Dublin,509910.0
Passengers,2020 September,Dublin,386058.0
Passengers,2020 October,Dublin,253972.0
Passengers,2020 November,Dublin,166835.0
Passengers,2020 December,Dublin,281302.0
Passengers,2021 January,Dublin,199133.0
Passengers,2021 February,Dublin,95802.0
Passengers,2021 March,Dublin,110177.0
Passengers,2021 April,Dublin,120002.0
Passengers,2021 May,Dublin,150855.0
Passengers,2021 June,Dublin,283892.0
Passengers,2021 July,Dublin,638986.0
Passengers,2021 August,Dublin,1233212.0
Passengers,2021 September,Dublin,1330636.0
Passengers,2021 October,Dublin,1543404.0
Passengers,2021 November,Dublin,1382610.0
Passengers,2021 December,Dublin,1177562.0
Passengers,2022 January,Dublin,969467.0
Passengers,2022 February,Dublin,1313651.0
Passengers,2022 March,Dublin,1816453.0
Passengers,2022 April,Dublin,2369756.0
Passengers,2022 May,Dublin,2582957.0
Passengers,2022 June,Dublin,2826982.0
Passengers,2022 July,Dublin,3038562.0
Passengers,2022 August,Dublin,3045763.0
Passengers,2022 September,Dublin,2756408.0
Passengers,2022 October,Dublin,2689961.0
Passengers,2022 November,Dublin,2194199.0
Passengers,2022 December,Dublin,2189186.0
Passengers,2023 January,Dublin,2091443.0
Passengers,2023 February,Dublin,2038737.0
Passengers,2023 March,Dublin,2459390.0
Passengers,2023 April,Dublin,2811699.0
Passengers,2023 May,Dublin,3027112.0
Passengers,2023 June,Dublin,3218315.0
Passengers,2023 July,Dublin,3425253.0
Passengers,2023 August,Dublin,3419986.0
