Statistic Label,Month,Airport,VALUE
Passengers,2019 January,Kerry,20829.0
Passengers,2019 February,Kerry,22231.0
Passengers,2019 March,Kerry,25546.0
Passengers,2019 April,Kerry,32171.0
Passengers,2019 May,Kerry,34213.0
Passengers,2019 June,Kerry,36150.0
Passengers,2019 July,Kerry,40680.0
Passengers,2019 August,Kerry,39617.0
Passengers,2019 September,Kerry,35721.0
Passengers,2019 October,Kerry,31790.0
Passengers,2019 November,Kerry,25151.0
Passengers,2019 December,Kerry,25737.0
Passengers,2020 January,Kerry,21572.0
Passengers,2020 February,Kerry,22699.0
Passengers,2020 March,Kerry,11492.0
Passengers,2020 April,Kerry,110.0
Passengers,2020 May,Kerry,219.0
Passengers,2020 June,Kerry,479.0
Passengers,2020 July,Kerry,6528.0
Passengers,2020 August,Kerry,8337.0
Passengers,2020 September,Kerry,5103.0
Passengers,2020 October,Kerry,3188.0
Passengers,2020 November,Kerry,1342.0
Passengers,2020 December,Kerry,1890.0
Passengers,2021 January,Kerry,1065.0
Passengers,2021 February,Kerry,406.0
Passengers,2021 March,Kerry,517.0
Passengers,2021 April,Kerry,667.0
Passengers,2021 May,Kerry,935.0
Passengers,2021 June,Kerry,2699.0
Passengers,2021 July,Kerry,5380.0
Passengers,2021 August,Kerry,20811.0
Passengers,2021 September,Kerry,19235.0
Passengers,2021 October,Kerry,27229.0
Passengers,2021 November,Kerry,21588.0
Passengers,2021 December,Kerry,14866.0
Passengers,2022 January,Kerry,7158.0
Passengers,2022 February,Kerry,15579.0
Passengers,2022 March,Kerry,22099.0
Passengers,2022 April,Kerry,33828.0
Passengers,2022 May,Kerry,33047.0
Passengers,2022 June,Kerry,35218.0
Passengers,2022 July,Kerry,40073.0
Passengers,2022 August,Kerry,41433.0
Passengers,2022 September,Kerry,36563.0
Passengers,2022 October,Kerry,36143.0
Passengers,2022 November,Kerry,25883.0
Passengers,2022 December,Kerry,28019.0
Passengers,2023 January,Kerry,21563.0
Passengers,2023 February,Kerry,24612.0
Passengers,2023 March,Kerry,26172.0
Passengers,2023 April,Kerry,40955.0
Passengers,2023 May,Kerry,40825.0
Passengers,2023 June,Kerry,35828.0
Passengers,2023 July,Kerry,45902.0
Passengers,2023 August,Kerry,
