Statistic Label,Month,Airport,VALUE
Passengers,2019 January,Knock,42413.0
Passengers,2019 February,Knock,45456.0
Passengers,2019 March,Knock,54700.0
Passengers,2019 April,Knock,71563.0
Passengers,2019 May,Knock,73850.0
Passengers,2019 June,Knock,77020.0
Passengers,2019 July,Knock,88781.0
Passengers,2019 August,Knock,94907.0
Passengers,2019 September,Knock,76300.0
Passengers,2019 October,Knock,72299.0
Passengers,2019 November,Knock,55255.0
Passengers,2019 December,Knock,52899.0
Passengers,2020 January,Knock,40272.0
Passengers,2020 February,Knock,45263.0
Passengers,2020 March,Knock,22436.0
Passengers,2020 April,Knock,0.0
Passengers,2020 May,Knock,0.0
Passengers,2020 June,Knock,0.0
Passengers,2020 July,Knock,8072.0
Passengers,2020 August,Knock,13707.0
Passengers,2020 September,Knock,5734.0
Passengers,2020 October,Knock,4661.0
Passengers,2020 November,Knock,1343.0
Passengers,2020 December,Knock,1044.0
Passengers,2021 January,Knock,619.0
Passengers,2021 February,Knock,0.0
Passengers,2021 March,Knock,0.0
Passengers,2021 April,Knock,0.0
Passengers,2021 May,Knock,0.0
Passengers,2021 June,Knock,2077.0
Passengers,2021 July,Knock,9505.0
Passengers,2021 August,Knock,25307.0
Passengers,2021 September,Knock,34333.0
Passengers,2021 October,Knock,42943.0
Passengers,2021 November,Knock,33438.0
Passengers,2021 December,Knock,25805.0
Passengers,2022 January,Knock,13820.0
Passengers,2022 February,Knock,32660.0
Passengers,2022 March,Knock,39901.0
Passengers,2022 April,Knock,69961.0
Passengers,2022 May,Knock,63041.0
Passengers,2022 June,Knock,67026.0
Passengers,2022 July,Knock,86617.0
Passengers,2022 August,Knock,92213.0
Passengers,2022 September,Knock,73765.0
Passengers,2022 October,Knock,73188.0
Passengers,2022 November,Knock,48705.0
Passengers,2022 December,Knock,48643.0
Passengers,2023 January,Knock,37639.0
Passengers,2023 February,Knock,43812.0
Passengers,2023 March,Knock,51206.0
Passengers,2023 April,Knock,76913.0
Passengers,2023 May,Knock,71170.0
Passengers,2023 June,Knock,81927.0
Passengers,2023 July,Knock,91189.0
Passengers,2023 August,Knock,101736.0
