Statistic Label,Month,Airport,VALUE,Year
Passengers,1,Dublin,2054794,2019
Passengers,1,Cork,148939,2019
Passengers,1,Shannon,87016,2019
Passengers,1,Knock,42413,2019
Passengers,1,Kerry,20829,2019
Passengers,2,Dublin,1993325,2019
Passengers,2,Cork,150482,2019
Passengers,2,Shannon,82497,2019
Passengers,2,Knock,45456,2019
Passengers,2,Kerry,22231,2019
Passengers,3,Dublin,2432195,2019
Passengers,3,Cork,174876,2019
Passengers,3,Shannon,100374,2019
Passengers,3,Knock,54700,2019
Passengers,3,Kerry,25546,2019
Passengers,4,Dublin,2789660,2019
Passengers,4,Cork,210510,2019
Passengers,4,Shannon,128840,2019
Passengers,4,Knock,71563,2019
Passengers,4,Kerry,32171,2019
Passengers,5,Dublin,2965517,2019
Passengers,5,Cork,239077,2019
Passengers,5,Shannon,160902,2019
Passengers,5,Knock,73850,2019
Passengers,5,Kerry,34213,2019
Passengers,6,Dublin,3202409,2019
Passengers,6,Cork,278961,2019
Passengers,6,Shannon,178680,2019
Passengers,6,Knock,77020,2019
Passengers,6,Kerry,36150,2019
Passengers,7,Dublin,3430859,2019
Passengers,7,Cork,296876,2019
Passengers,7,Shannon,183398,2019
Passengers,7,Knock,88781,2019
Passengers,7,Kerry,40680,2019
Passengers,8,Dublin,3399714,2019
Passengers,8,Cork,296799,2019
Passengers,8,Shannon,187029,2019
Passengers,8,Knock,94907,2019
Passengers,8,Kerry,39617,2019
Passengers,9,Dublin,3021796,2019
Passengers,9,Cork,238523,2019
Passengers,9,Shannon,166270,2019
Passengers,9,Knock,76300,2019
Passengers,9,Kerry,35721,2019
Passengers,10,Dublin,2865397,2019
Passengers,10,Cork,215482,2019
Passengers,10,Shannon,138218,2019
Passengers,10,Knock,72299,2019
Passengers,10,Kerry,31790,2019
Passengers,11,Dublin,2240194,2019
Passengers,11,Cork,171693,2019
Passengers,11,Shannon,104148,2019
Passengers,11,Knock,55255,2019
Passengers,11,Kerry,25151,2019
Passengers,12,Dublin,2280391,2019
Passengers,12,Cork,163248,2019
Passengers,12,Shannon,99050,2019
Passengers,12,Knock,52899,2019
Passengers,12,Kerry,25737,2019
Passengers,1,Dublin,2082481,2020
Passengers,1,Cork,158078,2020
Passengers,1,Shannon,85974,2020
Passengers,1,Knock,40272,2020
Passengers,1,Kerry,21572,2020
Passengers,2,Dublin,2030643,2020
Passengers,2,Cork,159121,2020
Passengers,2,Shannon,86800,2020
Passengers,2,Knock,45263,2020
Passengers,2,Kerry,22699,2020
Passengers,3,Dublin,1026004,2020
Passengers,3,Cork,80188,2020
Passengers,3,Shannon,43454,2020
Passengers,3,Knock,22436,2020
Passengers,3,Kerry,11492,2020
Passengers,4,Dublin,23951,2020
Passengers,4,Cork,1140,2020
Passengers,4,Shannon,85,2020
Passengers,4,Knock,0,2020
Passengers,4,Kerry,110,2020
Passengers,5,Dublin,42661,2020
Passengers,5,Cork,2116,2020
Passengers,5,Shannon,17,2020
Passengers,5,Knock,0,2020
Passengers,5,Kerry,219,2020
Passengers,6,Dublin,88980,2020
Passengers,6,Cork,4623,2020
Passengers,6,Shannon,18,2020
Passengers,6,Knock,0,2020
Passengers,6,Kerry,479,2020
Passengers,7,Dublin,374443,2020
Passengers,7,Cork,27631,2020
Passengers,7,Shannon,14607,2020
Passengers,7,Knock,8072,2020
Passengers,7,Kerry,6528,2020
Passengers,8,Dublin,509910,2020
Passengers,8,Cork,39951,2020
Passengers,8,Shannon,19871,2020
Passengers,8,Knock,13707,2020
Passengers,8,Kerry,8337,2020
Passengers,9,Dublin,386058,2020
Passengers,9,Cork,22705,2020
Passengers,9,Shannon,11027,2020
Passengers,9,Knock,5734,2020
Passengers,9,Kerry,5103,2020
Passengers,10,Dublin,253972,2020
Passengers,10,Cork,16714,2020
Passengers,10,Shannon,8011,2020
Passengers,10,Knock,4661,2020
Passengers,10,Kerry,3188,2020
Passengers,11,Dublin,166835,2020
Passengers,11,Cork,6108,2020
Passengers,11,Shannon,1823,2020
Passengers,11,Knock,1343,2020
Passengers,11,Kerry,1342,2020
Passengers,12,Dublin,281302,2020
Passengers,12,Cork,8639,2020
Passengers,12,Shannon,2247,2020
Passengers,12,Knock,1044,2020
Passengers,12,Kerry,1890,2020
Passengers,1,Dublin,199133,2021
Passengers,1,Cork,4849,2021
Passengers,1,Shannon,1214,2021
Passengers,1,Knock,619,2021
Passengers,1,Kerry,1065,2021
Passengers,2,Dublin,95802,2021
Passengers,2,Cork,1478,2021
Passengers,2,Shannon,441,2021
Passengers,2,Knock,0,2021
Passengers,2,Kerry,406,2021
Passengers,3,Dublin,110177,2021
Passengers,3,Cork,2599,2021
Passengers,3,Shannon,667,2021
Passengers,3,Knock,0,2021
Passengers,3,Kerry,517,2021
Passengers,4,Dublin,120002,2021
Passengers,4,Cork,3796,2021
Passengers,4,Shannon,186,2021
Passengers,4,Knock,0,2021
Passengers,4,Kerry,667,2021
Passengers,5,Dublin,150855,2021
Passengers,5,Cork,6956,2021
Passengers,5,Shannon,369,2021
Passengers,5,Knock,0,2021
Passengers,5,Kerry,935,2021
Passengers,6,Dublin,283892,2021
Passengers,6,Cork,14179,2021
Passengers,6,Shannon,9734,2021
Passengers,6,Knock,2077,2021
Passengers,6,Kerry,2699,2021
Passengers,7,Dublin,638986,2021
Passengers,7,Cork,32001,2021
Passengers,7,Shannon,23859,2021
Passengers,7,Knock,9505,2021
Passengers,7,Kerry,5380,2021
Passengers,8,Dublin,1233212,2021
Passengers,8,Cork,73640,2021
Passengers,8,Shannon,47540,2021
Passengers,8,Knock,25307,2021
Passengers,8,Kerry,20811,2021
Passengers,9,Dublin,1330636,2021
Passengers,9,Cork,28168,2021
Passengers,9,Shannon,53895,2021
Passengers,9,Knock,34333,2021
Passengers,9,Kerry,19235,2021
Passengers,10,Dublin,1543404,2021
Passengers,10,Cork,0,2021
Passengers,10,Shannon,71853,2021
Passengers,10,Knock,42943,2021
Passengers,10,Kerry,27229,2021
Passengers,11,Dublin,1382610,2021
Passengers,11,Cork,14933,2021
Passengers,11,Shannon,63560,2021
Passengers,11,Knock,33438,2021
Passengers,11,Kerry,21588,2021
Passengers,12,Dublin,1177562,2021
Passengers,12,Cork,72415,2021
Passengers,12,Shannon,48844,2021
Passengers,12,Knock,25805,2021
Passengers,12,Kerry,14866,2021
Passengers,1,Dublin,969467,2022
Passengers,1,Cork,65166,2022
Passengers,1,Shannon,42015,2022
Passengers,1,Knock,13820,2022
Passengers,1,Kerry,7158,2022
Passengers,2,Dublin,1313651,2022
