Statistic Label,Month,Airport,VALUE,Year
Passengers,2019 January,Dublin,2054794,2019
Passengers,2019 January,Cork,148939,2019
Passengers,2019 January,Shannon,87016,2019
Passengers,2019 January,Knock,42413,2019
Passengers,2019 January,Kerry,20829,2019
Passengers,2019 February,Dublin,1993325,2019
Passengers,2019 February,Cork,150482,2019
Passengers,2019 February,Shannon,82497,2019
Passengers,2019 February,Knock,45456,2019
Passengers,2019 February,Kerry,22231,2019
Passengers,2019 March,Dublin,2432195,2019
Passengers,2019 March,Cork,174876,2019
Passengers,2019 March,Shannon,100374,2019
Passengers,2019 March,Knock,54700,2019
Passengers,2019 March,Kerry,25546,2019
Passengers,2019 April,Dublin,2789660,2019
Passengers,2019 April,Cork,210510,2019
Passengers,2019 April,Shannon,128840,2019
Passengers,2019 April,Knock,71563,2019
Passengers,2019 April,Kerry,32171,2019
Passengers,2019 May,Dublin,2965517,2019
Passengers,2019 May,Cork,239077,2019
Passengers,2019 May,Shannon,160902,2019
Passengers,2019 May,Knock,73850,2019
Passengers,2019 May,Kerry,34213,2019
Passengers,2019 June,Dublin,3202409,2019
Passengers,2019 June,Cork,278961,2019
Passengers,2019 June,Shannon,178680,2019
Passengers,2019 June,Knock,77020,2019
Passengers,2019 June,Kerry,36150,2019
Passengers,2019 July,Dublin,3430859,2019
Passengers,2019 July,Cork,296876,2019
Passengers,2019 July,Shannon,183398,2019
Passengers,2019 July,Knock,88781,2019
Passengers,2019 July,Kerry,40680,2019
Passengers,2019 August,Dublin,3399714,2019
Passengers,2019 August,Cork,296799,2019
Passengers,2019 August,Shannon,187029,2019
Passengers,2019 August,Knock,94907,2019
Passengers,2019 August,Kerry,39617,2019
Passengers,2019 September,Dublin,3021796,2019
Passengers,2019 September,Cork,238523,2019
Passengers,2019 September,Shannon,166270,2019
Passengers,2019 September,Knock,76300,2019
Passengers,2019 September,Kerry,35721,2019
Passengers,2019 October,Dublin,2865397,2019
Passengers,2019 October,Cork,215482,2019
Passengers,2019 October,Shannon,138218,2019
Passengers,2019 October,Knock,72299,2019
Passengers,2019 October,Kerry,31790,2019
Passengers,2019 November,Dublin,2240194,2019
Passengers,2019 November,Cork,171693,2019
Passengers,2019 November,Shannon,104148,2019
Passengers,2019 November,Knock,55255,2019
Passengers,2019 November,Kerry,25151,2019
Passengers,2019 December,Dublin,2280391,2019
Passengers,2019 December,Cork,163248,2019
Passengers,2019 December,Shannon,99050,2019
Passengers,2019 December,Knock,52899,2019
Passengers,2019 December,Kerry,25737,2019
Passengers,2020 January,Dublin,2082481,2020
Passengers,2020 January,Cork,158078,2020
Passengers,2020 January,Shannon,85974,2020
Passengers,2020 January,Knock,40272,2020
Passengers,2020 January,Kerry,21572,2020
Passengers,2020 February,Dublin,2030643,2020
Passengers,2020 February,Cork,159121,2020
Passengers,2020 February,Shannon,86800,2020
Passengers,2020 February,Knock,45263,2020
Passengers,2020 February,Kerry,22699,2020
Passengers,2020 March,Dublin,1026004,2020
Passengers,2020 March,Cork,80188,2020
Passengers,2020 March,Shannon,43454,2020
Passengers,2020 March,Knock,22436,2020
Passengers,2020 March,Kerry,11492,2020
Passengers,2020 April,Dublin,23951,2020
Passengers,2020 April,Cork,1140,2020
Passengers,2020 April,Shannon,85,2020
Passengers,2020 April,Knock,0,2020
Passengers,2020 April,Kerry,110,2020
Passengers,2020 May,Dublin,42661,2020
Passengers,2020 May,Cork,2116,2020
Passengers,2020 May,Shannon,17,2020
Passengers,2020 May,Knock,0,2020
Passengers,2020 May,Kerry,219,2020
Passengers,2020 June,Dublin,88980,2020
Passengers,2020 June,Cork,4623,2020
Passengers,2020 June,Shannon,18,2020
Passengers,2020 June,Knock,0,2020
Passengers,2020 June,Kerry,479,2020
Passengers,2020 July,Dublin,374443,2020
Passengers,2020 July,Cork,27631,2020
Passengers,2020 July,Shannon,14607,2020
Passengers,2020 July,Knock,8072,2020
Passengers,2020 July,Kerry,6528,2020
Passengers,2020 August,Dublin,509910,2020
Passengers,2020 August,Cork,39951,2020
Passengers,2020 August,Shannon,19871,2020
Passengers,2020 August,Knock,13707,2020
Passengers,2020 August,Kerry,8337,2020
Passengers,2020 September,Dublin,386058,2020
Passengers,2020 September,Cork,22705,2020
Passengers,2020 September,Shannon,11027,2020
Passengers,2020 September,Knock,5734,2020
Passengers,2020 September,Kerry,5103,2020
Passengers,2020 October,Dublin,253972,2020
Passengers,2020 October,Cork,16714,2020
Passengers,2020 October,Shannon,8011,2020
Passengers,2020 October,Knock,4661,2020
Passengers,2020 October,Kerry,3188,2020
Passengers,2020 November,Dublin,166835,2020
Passengers,2020 November,Cork,6108,2020
Passengers,2020 November,Shannon,1823,2020
Passengers,2020 November,Knock,1343,2020
Passengers,2020 November,Kerry,1342,2020
Passengers,2020 December,Dublin,281302,2020
Passengers,2020 December,Cork,8639,2020
Passengers,2020 December,Shannon,2247,2020
Passengers,2020 December,Knock,1044,2020
Passengers,2020 December,Kerry,1890,2020
Passengers,2021 January,Dublin,199133,2021
Passengers,2021 January,Cork,4849,2021
Passengers,2021 January,Shannon,1214,2021
Passengers,2021 January,Knock,619,2021
Passengers,2021 January,Kerry,1065,2021
Passengers,2021 February,Dublin,95802,2021
Passengers,2021 February,Cork,1478,2021
Passengers,2021 February,Shannon,441,2021
Passengers,2021 February,Knock,0,2021
Passengers,2021 February,Kerry,406,2021
Passengers,2021 March,Dublin,110177,2021
Passengers,2021 March,Cork,2599,2021
Passengers,2021 March,Shannon,667,2021
Passengers,2021 March,Knock,0,2021
Passengers,2021 March,Kerry,517,2021
Passengers,2021 April,Dublin,120002,2021
Passengers,2021 April,Cork,3796,2021
Passengers,2021 April,Shannon,186,2021
Passengers,2021 April,Knock,0,2021
Passengers,2021 April,Kerry,667,2021
Passengers,2021 May,Dublin,150855,2021
Passengers,2021 May,Cork,6956,2021
Passengers,2021 May,Shannon,369,2021
Passengers,2021 May,Knock,0,2021
Passengers,2021 May,Kerry,935,2021
Passengers,2021 June,Dublin,283892,2021
Passengers,2021 June,Cork,14179,2021
Passengers,2021 June,Shannon,9734,2021
Passengers,2021 June,Knock,2077,2021
Passengers,2021 June,Kerry,2699,2021
