Statistic Label,Month,Airport,VALUE
Passengers,2019 January,Shannon,87016.0
Passengers,2019 February,Shannon,82497.0
Passengers,2019 March,Shannon,100374.0
Passengers,2019 April,Shannon,128840.0
Passengers,2019 May,Shannon,160902.0
Passengers,2019 June,Shannon,178680.0
Passengers,2019 July,Shannon,183398.0
Passengers,2019 August,Shannon,187029.0
Passengers,2019 September,Shannon,166270.0
Passengers,2019 October,Shannon,138218.0
Passengers,2019 November,Shannon,104148.0
Passengers,2019 December,Shannon,99050.0
Passengers,2020 January,Shannon,85974.0
Passengers,2020 February,Shannon,86800.0
Passengers,2020 March,Shannon,43454.0
Passengers,2020 April,Shannon,85.0
Passengers,2020 May,Shannon,17.0
Passengers,2020 June,Shannon,18.0
Passengers,2020 July,Shannon,14607.0
Passengers,2020 August,Shannon,19871.0
Passengers,2020 September,Shannon,11027.0
Passengers,2020 October,Shannon,8011.0
Passengers,2020 November,Shannon,1823.0
Passengers,2020 December,Shannon,2247.0
Passengers,2021 January,Shannon,1214.0
Passengers,2021 February,Shannon,441.0
Passengers,2021 March,Shannon,667.0
Passengers,2021 April,Shannon,186.0
Passengers,2021 May,Shannon,369.0
Passengers,2021 June,Shannon,9734.0
Passengers,2021 July,Shannon,23859.0
Passengers,2021 August,Shannon,47540.0
Passengers,2021 September,Shannon,53895.0
Passengers,2021 October,Shannon,71853.0
Passengers,2021 November,Shannon,63560.0
Passengers,2021 December,Shannon,48844.0
Passengers,2022 January,Shannon,42015.0
Passengers,2022 February,Shannon,57910.0
Passengers,2022 March,Shannon,81286.0
Passengers,2022 April,Shannon,123923.0
Passengers,2022 May,Shannon,135026.0
Passengers,2022 June,Shannon,148990.0
Passengers,2022 July,Shannon,164397.0
Passengers,2022 August,Shannon,159082.0
Passengers,2022 September,Shannon,141557.0
Passengers,2022 October,Shannon,133549.0
Passengers,2022 November,Shannon,115403.0
Passengers,2022 December,Shannon,118820.0
Passengers,2023 January,Shannon,105259.0
Passengers,2023 February,Shannon,96916.0
Passengers,2023 March,Shannon,126318.0
Passengers,2023 April,Shannon,171325.0
Passengers,2023 May,Shannon,178919.0
Passengers,2023 June,Shannon,196179.0
Passengers,2023 July,Shannon,
Passengers,2023 August,Shannon,
