Statistic Label,Month,Airport,VALUE
Passengers,2019 January,Dublin,2054794.0
Passengers,2019 January,Cork,148939.0
Passengers,2019 January,Shannon,87016.0
Passengers,2019 January,Knock,42413.0
Passengers,2019 January,Kerry,20829.0
Passengers,2019 January,All main airports,2353991.0
Passengers,2019 February,Dublin,1993325.0
Passengers,2019 February,Cork,150482.0
Passengers,2019 February,Shannon,82497.0
Passengers,2019 February,Knock,45456.0
Passengers,2019 February,Kerry,22231.0
Passengers,2019 February,All main airports,2293991.0
Passengers,2019 March,Dublin,2432195.0
Passengers,2019 March,Cork,174876.0
Passengers,2019 March,Shannon,100374.0
Passengers,2019 March,Knock,54700.0
Passengers,2019 March,Kerry,25546.0
Passengers,2019 March,All main airports,2787691.0
Passengers,2019 April,Dublin,2789660.0
Passengers,2019 April,Cork,210510.0
Passengers,2019 April,Shannon,128840.0
Passengers,2019 April,Knock,71563.0
Passengers,2019 April,Kerry,32171.0
Passengers,2019 April,All main airports,3232744.0
Passengers,2019 May,Dublin,2965517.0
Passengers,2019 May,Cork,239077.0
Passengers,2019 May,Shannon,160902.0
Passengers,2019 May,Knock,73850.0
Passengers,2019 May,Kerry,34213.0
Passengers,2019 May,All main airports,3473559.0
Passengers,2019 June,Dublin,3202409.0
Passengers,2019 June,Cork,278961.0
Passengers,2019 June,Shannon,178680.0
Passengers,2019 June,Knock,77020.0
Passengers,2019 June,Kerry,36150.0
Passengers,2019 June,All main airports,3773220.0
Passengers,2019 July,Dublin,3430859.0
Passengers,2019 July,Cork,296876.0
Passengers,2019 July,Shannon,183398.0
Passengers,2019 July,Knock,88781.0
Passengers,2019 July,Kerry,40680.0
Passengers,2019 July,All main airports,4040594.0
Passengers,2019 August,Dublin,3399714.0
Passengers,2019 August,Cork,296799.0
Passengers,2019 August,Shannon,187029.0
Passengers,2019 August,Knock,94907.0
Passengers,2019 August,Kerry,39617.0
Passengers,2019 August,All main airports,4018066.0
Passengers,2019 September,Dublin,3021796.0
Passengers,2019 September,Cork,238523.0
Passengers,2019 September,Shannon,166270.0
Passengers,2019 September,Knock,76300.0
Passengers,2019 September,Kerry,35721.0
Passengers,2019 September,All main airports,3538610.0
Passengers,2019 October,Dublin,2865397.0
Passengers,2019 October,Cork,215482.0
Passengers,2019 October,Shannon,138218.0
Passengers,2019 October,Knock,72299.0
Passengers,2019 October,Kerry,31790.0
Passengers,2019 October,All main airports,3323186.0
Passengers,2019 November,Dublin,2240194.0
Passengers,2019 November,Cork,171693.0
Passengers,2019 November,Shannon,104148.0
Passengers,2019 November,Knock,55255.0
Passengers,2019 November,Kerry,25151.0
Passengers,2019 November,All main airports,2596441.0
Passengers,2019 December,Dublin,2280391.0
Passengers,2019 December,Cork,163248.0
Passengers,2019 December,Shannon,99050.0
Passengers,2019 December,Knock,52899.0
Passengers,2019 December,Kerry,25737.0
Passengers,2019 December,All main airports,2621325.0
Passengers,2020 January,Dublin,2082481.0
Passengers,2020 January,Cork,158078.0
Passengers,2020 January,Shannon,85974.0
Passengers,2020 January,Knock,40272.0
Passengers,2020 January,Kerry,21572.0
Passengers,2020 January,All main airports,2388377.0
Passengers,2020 February,Dublin,2030643.0
Passengers,2020 February,Cork,159121.0
Passengers,2020 February,Shannon,86800.0
Passengers,2020 February,Knock,45263.0
Passengers,2020 February,Kerry,22699.0
Passengers,2020 February,All main airports,2344526.0
Passengers,2020 March,Dublin,1026004.0
Passengers,2020 March,Cork,80188.0
Passengers,2020 March,Shannon,43454.0
Passengers,2020 March,Knock,22436.0
Passengers,2020 March,Kerry,11492.0
Passengers,2020 March,All main airports,1183574.0
Passengers,2020 April,Dublin,23951.0
Passengers,2020 April,Cork,1140.0
Passengers,2020 April,Shannon,85.0
Passengers,2020 April,Knock,0.0
Passengers,2020 April,Kerry,110.0
Passengers,2020 April,All main airports,25286.0
Passengers,2020 May,Dublin,42661.0
Passengers,2020 May,Cork,2116.0
Passengers,2020 May,Shannon,17.0
Passengers,2020 May,Knock,0.0
Passengers,2020 May,Kerry,219.0
Passengers,2020 May,All main airports,45013.0
Passengers,2020 June,Dublin,88980.0
Passengers,2020 June,Cork,4623.0
Passengers,2020 June,Shannon,18.0
Passengers,2020 June,Knock,0.0
Passengers,2020 June,Kerry,479.0
Passengers,2020 June,All main airports,94100.0
Passengers,2020 July,Dublin,374443.0
Passengers,2020 July,Cork,27631.0
Passengers,2020 July,Shannon,14607.0
Passengers,2020 July,Knock,8072.0
Passengers,2020 July,Kerry,6528.0
Passengers,2020 July,All main airports,431281.0
Passengers,2020 August,Dublin,509910.0
Passengers,2020 August,Cork,39951.0
Passengers,2020 August,Shannon,19871.0
Passengers,2020 August,Knock,13707.0
Passengers,2020 August,Kerry,8337.0
Passengers,2020 August,All main airports,591776.0
Passengers,2020 September,Dublin,386058.0
Passengers,2020 September,Cork,22705.0
Passengers,2020 September,Shannon,11027.0
Passengers,2020 September,Knock,5734.0
Passengers,2020 September,Kerry,5103.0
Passengers,2020 September,All main airports,430627.0
Passengers,2020 October,Dublin,253972.0
Passengers,2020 October,Cork,16714.0
Passengers,2020 October,Shannon,8011.0
Passengers,2020 October,Knock,4661.0
Passengers,2020 October,Kerry,3188.0
Passengers,2020 October,All main airports,286546.0
Passengers,2020 November,Dublin,166835.0
Passengers,2020 November,Cork,6108.0
Passengers,2020 November,Shannon,1823.0
Passengers,2020 November,Knock,1343.0
Passengers,2020 November,Kerry,1342.0
Passengers,2020 November,All main airports,177451.0
Passengers,2020 December,Dublin,281302.0
Passengers,2020 December,Cork,8639.0
Passengers,2020 December,Shannon,2247.0
Passengers,2020 December,Knock,1044.0
Passengers,2020 December,Kerry,1890.0
Passengers,2020 December,All main airports,295122.0
Passengers,2021 January,Dublin,199133.0
Passengers,2021 January,Cork,4849.0
Passengers,2021 January,Shannon,1214.0
Passengers,2021 January,Knock,619.0
Passengers,2021 January,Kerry,1065.0
Passengers,2021 January,All main airports,206880.0
Passengers,2021 February,Dublin,95802.0
Passengers,2021 February,Cork,1478.0
Passengers,2021 February,Shannon,441.0
Passengers,2021 February,Knock,0.0
Passengers,2021 February,Kerry,406.0
Passengers,2021 February,All main airports,98127.0
Passengers,2021 March,Dublin,110177.0
Passengers,2021 March,Cork,2599.0
Passengers,2021 March,Shannon,667.0
Passengers,2021 March,Knock,0.0
Passengers,2021 March,Kerry,517.0
Passengers,2021 March,All main airports,113960.0
Passengers,2021 April,Dublin,120002.0
Passengers,2021 April,Cork,3796.0
Passengers,2021 April,Shannon,186.0
Passengers,2021 April,Knock,0.0
Passengers,2021 April,Kerry,667.0
Passengers,2021 April,All main airports,124651.0
Passengers,2021 May,Dublin,150855.0
